date,returns,earthquake_dummy
2010-01-05,0.31108319667552914,0
2010-01-06,0.05453718878256326,0
2010-01-07,0.39932183546520317,0
2010-01-08,0.2877583075096213,0
2010-01-11,0.174523162858463,0
2010-01-12,-0.9425446438949042,0
2010-01-13,0.8291456333367025,0
2010-01-14,0.24234864214119678,0
2010-01-15,-1.0882126301204098,0
2010-01-19,1.2422151207732708,0
2010-01-20,-1.0654386601861303,0
2010-01-21,-1.9126657272987804,0
2010-01-22,-2.2389779630113518,0
2010-01-25,0.45875590538052924,0
2010-01-26,-0.4212057847792501,0
2010-01-27,0.48682828686140184,0
2010-01-28,-1.1888125534274654,0
2010-01-29,-0.9877799049984824,0
2010-02-01,1.4165305546367248,0
2010-02-02,1.2889520445200606,0
2010-02-03,-0.5489350382531726,0
2010-02-04,-3.1635856049813893,1
2010-02-05,0.28929303608288165,0
2010-02-08,-0.8902803100369487,0
2010-02-09,1.2955841773581767,0
2010-02-10,-0.22350694280097602,0
2010-02-11,0.9633882335098867,0
2010-02-12,-0.2748366119941131,0
2010-02-16,1.784065353626841,0
2010-02-17,0.4229004596703741,0
2010-02-18,0.6563157733799874,0
2010-02-19,0.218423486358879,0
2010-02-22,-0.10464051249225452,0
2010-02-23,-1.2176644945191843,0
2010-02-24,0.9673519697192082,0
2010-02-25,-0.20832085528697158,0
2010-02-26,0.14043925568626012,0
2010-03-01,1.010725742359912,0
2010-03-02,0.23277310028862694,0
2010-03-03,0.04291095214003986,0
2010-03-04,0.37291560795669554,0
2010-03-05,1.3910282801612741,0
2010-03-08,-0.01756114321809781,0
2010-03-09,0.1711272023976538,0
2010-03-10,0.4514354904206319,0
2010-03-11,0.40333743135126043,0
2010-03-12,-0.021736957009269708,0
2010-03-15,0.04520926234272419,0
2010-03-16,0.7749014983164145,0
2010-03-17,0.5804795332563638,0
2010-03-18,-0.0325899126686873,0
2010-03-19,-0.5099426451616946,0
2010-03-22,0.5082359099182274,0
2010-03-23,0.7145377784797967,0
2010-03-24,-0.5508447887290541,0
2010-03-25,-0.17056210833244528,0
2010-03-26,0.07374506159864164,0
2010-03-29,0.5667146312795849,0
2010-03-30,0.004265846293482951,1
2010-03-31,-0.3278242318030634,0
2010-04-01,0.7386454005524301,0
2010-04-05,0.789672944308568,1
2010-04-06,0.1682878875349027,1
2010-04-07,-0.5894042967257775,0
2010-04-08,0.3368661430850723,1
2010-04-09,0.6661668296833876,1
2010-04-12,0.1765050857137893,0
2010-04-13,0.06851660398326255,0
2010-04-14,1.1088363099910594,0
2010-04-15,0.08421839911768203,1
2010-04-16,-1.6257982418547197,0
2010-04-19,0.4511140739532008,0
2010-04-20,0.8026045737069175,0
2010-04-21,-0.10195164356999703,0
2010-04-22,0.22613206430879812,1
2010-04-23,0.7098267683224423,0
2010-04-26,-0.43057043551013596,0
2010-04-27,-2.3659640178697434,1
2010-04-28,0.6441958378178912,0
2010-04-29,1.286018028129593,0
2010-04-30,-1.6787810139870474,0
2010-05-03,1.3035257453257976,0
2010-05-04,-2.4127199957411958,1
2010-05-05,-0.6608341800780098,0
2010-05-06,-3.288844064396802,0
2010-05-07,-1.5426646180907493,0
2010-05-10,4.303470414561779,0
2010-05-11,-0.3403075918466228,1
2010-05-12,1.3645992401822291,0
2010-05-13,-1.2219499889222976,0
2010-05-14,-1.8978981387947544,0
2010-05-17,0.11087536210062188,0
2010-05-18,-1.4297631785002225,0
2010-05-19,-0.5143468860015589,1
2010-05-20,-3.975579583776419,0
2010-05-21,1.4912632585706744,0
2010-05-24,-1.2992046323689972,0
2010-05-25,0.03538747646596638,0
2010-05-26,-0.5677078693651669,1
2010-05-27,3.2347311768672324,0
2010-05-28,-1.2451892345403441,0
2010-06-01,-1.7314353324601142,0
2010-06-02,2.5514428108340503,0
2010-06-03,0.40431919834470864,0
2010-06-04,-3.5017442089835704,0
2010-06-07,-1.362446616571801,0
2010-06-08,1.0916267643523603,0
2010-06-09,-0.5959396741888011,0
2010-06-10,2.907984566617475,0
2010-06-11,0.4370115742622152,0
2010-06-14,-0.18062939317612833,0
2010-06-15,2.322245059850262,1
2010-06-16,-0.05560893540976485,0
2010-06-17,0.12821858123916216,0
2010-06-18,0.1316264138450471,0
2010-06-21,-0.3864297943389865,0
2010-06-22,-1.6201225086993933,0
2010-06-23,-0.29899392610687203,1
2010-06-24,-1.6946283204951273,0
2010-06-25,0.2855281931540761,0
2010-06-28,-0.20360096106521042,0
2010-06-29,-3.1508230342201813,0
2010-06-30,-1.0164453973340104,0
2010-07-01,-0.32457133092416623,0
2010-07-02,-0.4673271754307643,0
2010-07-06,0.534472588746126,0
2010-07-07,3.0850023008263836,1
2010-07-08,0.936865495165787,0
2010-07-09,0.7178063766629461,0
2010-07-12,0.07326336059528174,0
2010-07-13,1.5261822735570876,0
2010-07-14,-0.015514366479341991,0
2010-07-15,0.11953885564158245,0
2010-07-16,-2.9242909700752517,0
2010-07-19,0.5964069587911024,0
2010-07-20,1.1351874168992775,0
2010-07-21,-1.290269958228857,0
2010-07-22,2.2263687822425644,0
2010-07-23,0.8186420184349414,0
2010-07-26,1.1137908716722953,0
2010-07-27,-0.10499083075175675,0
2010-07-28,-0.6946032638280119,0
2010-07-29,-0.41672922205098417,0
2010-07-30,0.006349719619676988,0
2010-08-02,2.17835287811622,0
2010-08-03,-0.48078946413281626,0
2010-08-04,0.6032878060032443,0
2010-08-05,-0.1269329843219189,1
2010-08-06,-0.37109155663950677,0
2010-08-09,0.5468087107403319,0
2010-08-10,-0.5985281603927614,0
